game_name,month,total_ticket_sales,total_ticket_sales_count,year,zip_code
Pick3 Fireball,January,2888.5,"3,525",2017,60035
Pick 4,January,9526.0,"11,617",2017,60035
Pick4 Fireball,January,2404.0,"3,327",2017,60035
Powerball,January,25781.0,"6,200",2017,60035
EZ Match,January,745.0,745,2017,60040
Instant Rollup,January,129750.0,Not Tracked,2017,60040
Lotto,January,4828.0,"1,411",2017,60040
Lucky Day Lotto,January,6155.0,"2,760",2017,60040
Mega Millions ,January,5340.0,"1,845",2017,60040
Pick 3,January,2091.5,"2,021",2017,60040
Pick3 Fireball,January,387.0,560,2017,60040
Pick 4,January,1859.5,"2,161",2017,60040
Pick4 Fireball,January,995.0,"1,288",2017,60040
Powerball,January,6762.0,"1,417",2017,60040
EZ Match,January,741.0,741,2017,60041
Instant Rollup,January,100350.0,Not Tracked,2017,60041
Lotto,January,5030.0,"1,337",2017,60041
Lucky Day Lotto,January,5968.0,"2,443",2017,60041
Mega Millions ,January,3742.0,"1,246",2017,60041
Pick 3,January,4348.5,"4,218",2017,60041
Pick3 Fireball,January,924.0,"1,276",2017,60041
Pick 4,January,2354.0,"2,492",2017,60041
Pick4 Fireball,January,1191.5,"1,648",2017,60041
Powerball,January,3262.0,836,2017,60041
EZ Match,January,1106.0,"1,106",2017,60042
Instant Rollup,January,113400.0,Not Tracked,2017,60042
Lotto,January,10010.0,"2,831",2017,60042
Lucky Day Lotto,January,12792.0,"4,941",2017,60042
Mega Millions ,January,8622.0,"3,020",2017,60042
Pick 3,January,4603.0,"4,392",2017,60042
Pick3 Fireball,January,1342.0,"1,237",2017,60042
Pick 4,January,2610.0,"2,563",2017,60042
Pick4 Fireball,January,894.5,899,2017,60042
Powerball,January,8429.0,"2,053",2017,60042
EZ Match,January,595.0,595,2017,60044
Instant Rollup,January,97350.0,Not Tracked,2017,60044
Lotto,January,5640.0,"1,706",2017,60044
Lucky Day Lotto,January,10690.0,"3,665",2017,60044
Mega Millions ,January,8213.0,"2,689",2017,60044
Pick 3,January,7349.5,"6,044",2017,60044
Pick3 Fireball,January,1187.5,995,2017,60044
Pick 4,January,3948.5,"4,799",2017,60044
Pick4 Fireball,January,1081.5,"1,353",2017,60044
Powerball,January,7735.0,"1,796",2017,60044
EZ Match,January,249.0,249,2017,60045
Instant Rollup,January,87900.0,Not Tracked,2017,60045
Lotto,January,4652.0,"1,716",2017,60045
Lucky Day Lotto,January,4991.0,"2,227",2017,60045
Mega Millions ,January,8350.0,"2,995",2017,60045
Pick 3,January,1938.0,"1,831",2017,60045
Pick3 Fireball,January,504.0,511,2017,60045
Pick 4,January,1351.0,"1,759",2017,60045
Pick4 Fireball,January,443.0,518,2017,60045
Powerball,January,10039.0,"2,252",2017,60045
EZ Match,January,2696.0,"2,696",2017,60046
Instant Rollup,January,365850.0,Not Tracked,2017,60046
Lotto,January,21708.0,"6,238",2017,60046
Lucky Day Lotto,January,26944.0,"10,698",2017,60046
Mega Millions ,January,21621.0,"7,101",2017,60046
Pick 3,January,22407.0,"21,238",2017,60046
Pick3 Fireball,January,1802.0,"1,879",2017,60046
Pick 4,January,23610.5,"12,839",2017,60046
Pick4 Fireball,January,1376.0,"1,632",2017,60046
Powerball,January,22721.0,"5,251",2017,60046
EZ Match,January,1407.0,"1,407",2017,60047
Instant Rollup,January,267150.0,Not Tracked,2017,60047
Lotto,January,28657.0,"8,282",2017,60047
Lucky Day Lotto,January,30691.0,"11,419",2017,60047
Mega Millions ,January,30741.0,"10,050",2017,60047
Pick 3,January,6721.0,"6,714",2017,60047
Pick3 Fireball,January,2787.0,"2,551",2017,60047
Pick 4,January,8041.5,"7,514",2017,60047
Pick4 Fireball,January,2268.0,"2,380",2017,60047
Powerball,January,29508.0,"7,130",2017,60047
EZ Match,January,1092.0,"1,092",2017,60048
Instant Rollup,January,224850.0,Not Tracked,2017,60048
Lotto,January,14592.0,"5,036",2017,60048
Lucky Day Lotto,January,13840.0,"6,438",2017,60048
Mega Millions ,January,19746.0,"7,102",2017,60048
Pick 3,January,4256.5,"4,017",2017,60048
Pick3 Fireball,January,1292.0,"1,175",2017,60048
Pick 4,January,3861.5,"4,444",2017,60048
Pick4 Fireball,January,888.5,"1,185",2017,60048
Powerball,January,20658.0,"4,883",2017,60048
EZ Match,January,4726.0,"4,726",2017,60050
Instant Rollup,January,584250.0,Not Tracked,2017,60050
Lotto,January,29620.0,"9,184",2017,60050
Lucky Day Lotto,January,34909.0,"16,335",2017,60050
Mega Millions ,January,24909.0,"9,467",2017,60050
Pick 3,January,13697.0,"12,897",2017,60050
Pick3 Fireball,January,5188.0,"4,944",2017,60050
Pick 4,January,8315.5,"8,178",2017,60050
Pick4 Fireball,January,5019.5,"5,395",2017,60050
Powerball,January,26311.0,"6,671",2017,60050
EZ Match,January,1403.0,"1,403",2017,60051
Instant Rollup,January,149850.0,Not Tracked,2017,60051
Lotto,January,10264.0,"3,056",2017,60051
Lucky Day Lotto,January,13589.0,"5,706",2017,60051
Mega Millions ,January,9586.0,"3,474",2017,60051
Pick 3,January,3870.0,"3,579",2017,60051
Pick3 Fireball,January,832.0,754,2017,60051
Pick 4,January,2582.0,"2,362",2017,60051
Pick4 Fireball,January,1561.0,"1,382",2017,60051
Powerball,January,10372.0,"2,549",2017,60051
EZ Match,January,3686.0,"3,686",2017,60053
Instant Rollup,January,783600.0,Not Tracked,2017,60053
Lotto,January,36258.0,"10,934",2017,60053
Lucky Day Lotto,January,48225.0,"20,826",2017,60053
Mega Millions ,January,37443.0,"12,459",2017,60053
Pick 3,January,46214.5,"44,410",2017,60053
Pick3 Fireball,January,12362.0,"12,722",2017,60053
Pick 4,January,38529.5,"48,854",2017,60053
Pick4 Fireball,January,13709.0,"18,095",2017,60053
